"","X","MES","FECHA","LINEA","ACTIVIDAD","INSTITUCIÓN","POBLACIÓN","DIRECCIÓN","BARRIO","COMUNA","PERSONAS SENSIBILIZADAS","MUJERES","HOMBRES","NIÑO","JOVEN","ADULTO","P.MAYOR","PEATÓN","CICLISTA","MOTOCICLISTA","CONDUCTOR","ACOMPAÑANTE.Y.O.PASAJERO","HOMBRES","JOVEN..14.a.28.años..1","ADULTO..29.a.59.años..1","PERSONA.MAYOR..60..años.y.más..1","PEATÓN.1","CICLISTA.1","MOTOCICLISTA.1","CONDUCTOR.1","ACOMPAÑANTE.Y.O.PASAJERO.1","No..DE.PROFESIONALES.VINCULADOS","No..DE.AUXILIARES.VINCULADOS","No..DE.PROFESIONALES.CONTRATISTAS","No..DE.AUXILIARES.CONTRATISTAS","NCOMUNA"
"18",18,"Enero","martes, 09 de enero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Aerotaxi","Transporte Público Individual","CR 65 16a 43","Guayabal","Comuna15Guayabal",2,0,2,"0",0,0,0,0,0,0,0,0,"0",1,1,0,0,0,1,1,0,0,0,2,0,15
"19",19,"Enero","miércoles, 10 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  61","Caribe","Comuna5Castilla",24,4,20,"0",1,3,0,0,0,2,2,0,"0",8,12,0,0,0,7,13,0,1,0,0,1,5
"20",20,"Enero","miércoles, 10 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  62","Caribe","Comuna5Castilla",19,3,16,"0",1,2,0,0,0,2,1,0,"0",8,8,0,0,0,2,14,0,1,0,0,1,5
"21",21,"Enero","miércoles, 10 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  63","Caribe","Comuna5Castilla",16,1,15,"0",0,1,0,0,0,0,1,0,"0",6,9,0,0,0,3,12,0,1,0,0,1,5
"22",22,"Enero","miércoles, 10 de enero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Recuperar - Zenú","Empresas comerciales y de servicios ","CR 64c  104 03","Caribe","Comuna5Castilla",1,1,0,"0",1,0,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,2,0,5
"23",23,"Enero","miércoles, 10 de enero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Cootransmede","Transporte Público Individual","CL 25  65B 48","Antioquia","Comuna15Guayabal",2,2,0,"0",0,2,0,2,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,2,0,15
"24",24,"Enero","jueves, 11 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  64","Caribe","Comuna5Castilla",19,1,18,"0",0,1,0,0,0,1,0,0,"0",6,12,0,0,0,10,8,0,1,0,0,1,5
"25",25,"Enero","jueves, 11 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  65","Caribe","Comuna5Castilla",15,4,11,"0",1,3,0,0,0,1,3,0,"0",2,8,1,0,0,4,7,0,1,0,0,1,5
"26",26,"Enero","jueves, 11 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  66","Caribe","Comuna5Castilla",20,5,15,"0",2,3,0,0,0,2,3,0,"0",3,11,1,0,0,5,10,0,1,0,0,1,5
"27",27,"Enero","jueves, 11 de enero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Tax Individual","Transporte Público Individual","CL 11sur  50 294","Campo Amor","Comuna15Guayabal",2,2,0,"0",1,1,0,2,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,2,0,15
"28",28,"Enero","viernes, 12 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  67","Caribe","Comuna5Castilla",28,4,24,"0",1,3,0,0,0,1,3,0,"0",5,18,1,0,0,10,14,0,1,0,0,1,5
"29",29,"Enero","viernes, 12 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  68","Caribe","Comuna5Castilla",42,6,36,"0",4,2,0,0,0,0,6,0,"0",9,24,3,0,0,13,23,0,1,0,0,1,5
"30",30,"Enero","viernes, 12 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  69","Caribe","Comuna5Castilla",40,4,36,"0",1,3,0,0,0,2,2,0,"0",9,27,0,0,0,10,26,0,1,0,0,1,5
