"","X","MES","FECHA","LINEA","ACTIVIDAD","INSTITUCIÓN","POBLACIÓN","DIRECCIÓN","BARRIO","COMUNA","PERSONAS SENSIBILIZADAS","MUJERES","HOMBRES","NIÑO","JOVEN","ADULTO","P.MAYOR","PEATÓN","CICLISTA","MOTOCICLISTA","CONDUCTOR","ACOMPAÑANTE.Y.O.PASAJERO","HOMBRES","JOVEN..14.a.28.años..1","ADULTO..29.a.59.años..1","PERSONA.MAYOR..60..años.y.más..1","PEATÓN.1","CICLISTA.1","MOTOCICLISTA.1","CONDUCTOR.1","ACOMPAÑANTE.Y.O.PASAJERO.1","No..DE.PROFESIONALES.VINCULADOS","No..DE.AUXILIARES.VINCULADOS","No..DE.PROFESIONALES.CONTRATISTAS","No..DE.AUXILIARES.CONTRATISTAS","NCOMUNA"
"316",316,"Abril","miércoles, 18 de abril de 2018","Instituciones educativas e IES","Formación docentes","Escuela del Maestro MOVA","Segunda cohorte Formación A la Rueda Ruedo","Cll 51 # 40 – 155","Boston","Comuna10LaCandelaria",0,0,0,"0",0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,0,2,3,10
"317",317,"Febrero","lunes, 12 de febrero de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe ","Comuna5Castilla",1119,438,681,"0",233,150,55,338,0,50,50,0,"0",384,219,78,483,0,125,73,0,0,0,1,3,5
"318",318,"Febrero","viernes, 16 de febrero de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","I.E. Santa Cruz","Docentes","Calle 103 43 a 45","San Cristobal ","Comuna60SanCristóbal",3,2,1,"0",0,2,0,2,0,0,0,0,"0",0,1,0,0,0,0,0,1,0,0,1,0,60
"319",319,"Febrero","lunes, 12 de febrero de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","I.E. Loma Hermosa","Docentes","Cra. 124 #53b-40","San Cristobal ","Comuna60SanCristóbal",1,1,0,"0",0,1,0,0,0,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,1,0,60
"320",320,"Febrero","martes, 13 de febrero de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","I.E. Sol de Oriente","Docentes","Carrera 23 N 56 eh 200","Enciso","Comuna8VillaHermosa",5,2,3,"0",0,2,0,0,0,0,0,2,"0",0,3,0,0,0,2,0,1,0,0,1,0,8
"321",321,"Febrero","lunes, 12 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",311,113,198,"0",31,76,6,35,0,51,24,3,"0",82,109,7,18,0,100,80,0,0,0,1,3,5
"322",322,"Febrero","martes, 13 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",176,68,108,"0",26,37,5,14,0,14,40,0,"0",58,41,9,10,0,47,51,0,0,0,1,2,5
"323",323,"Febrero","miércoles, 14 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  60","Caribe","Comuna5Castilla",76,31,45,"0",14,17,0,0,0,18,13,0,"0",28,15,2,0,2,26,17,0,0,0,1,4,5
"324",324,"Febrero","jueves, 15 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  61","Caribe","Comuna5Castilla",89,28,61,"0",4,13,10,15,0,3,10,0,"0",36,24,1,6,0,44,11,0,0,0,1,2,5
"325",325,"Febrero","viernes, 16 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  62","Caribe","Comuna5Castilla",72,27,45,"1",12,15,0,0,0,12,15,0,"0",27,13,5,0,0,27,18,0,0,0,1,3,5
"326",326,"Febrero","sábado, 17 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  63","Caribe","Comuna5Castilla",60,24,36,"0",9,15,0,0,0,7,14,3,"0",21,12,3,0,3,23,10,0,0,0,1,3,5
"327",327,"Febrero","jueves, 15 de febrero de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","I.E. Presbítero Juan J Escobar","Docentes","Cl. 62 #128120","San Cristobal","Comuna60SanCristóbal",4,2,2,"0",0,2,0,2,0,0,0,0,"0",0,2,0,0,0,0,2,0,0,0,1,0,60
"328",328,"Febrero","lunes, 19 de febrero de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institucion Educativa Arzobispo Tulio Botero Salazar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","CR 56 72 115","Miranda ","Comuna4Aranjuez",33,18,15,"0",0,1,0,0,0,0,0,18,"0",0,1,0,0,0,0,0,15,0,0,1,2,4
"329",329,"Febrero","martes, 20 de febrero de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institucion Educativa Arzobispo Tulio Botero Salazar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","CR 56 72 115","Miranda ","Comuna4Aranjuez",26,11,15,"17",0,1,0,0,0,0,0,11,"14",0,0,0,0,0,0,0,15,0,0,1,3,4
"330",330,"Febrero","miércoles, 21 de febrero de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institucion Educativa Arzobispo Tulio Botero Salazar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","CR 56 72 115","Miranda ","Comuna4Aranjuez",38,22,16,"10",0,2,0,0,0,0,0,22,"15",0,0,0,0,0,0,0,16,0,0,1,3,4
"331",331,"Febrero","jueves, 22 de febrero de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institucion Educativa Arzobispo Tulio Botero Salazar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","CR 56 72 115","Miranda ","Comuna4Aranjuez",40,24,16,"20",0,3,0,0,0,0,0,24,"16",0,0,0,0,0,0,0,16,0,0,1,3,4
"332",332,"Febrero","viernes, 23 de febrero de 2018","Parque Educativo de Movilidad","Taller de educación vial","Institucion Educativa Arzobispo Tulio Botero Salazar","Niños y niñas de instituciones educativas entre 6 y 14 años.
","CR 56 72 115","Miranda ","Comuna4Aranjuez",35,23,12,"21",0,3,0,0,0,0,0,23,"16",0,0,0,0,0,0,0,12,0,0,1,3,4
"333",333,"Febrero","lunes, 19 de febrero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CL 45 ENTRE CRA 54 CRA 51","Laureles","Comuna10LaCandelaria",122,40,82,"20",14,25,1,14,0,5,19,2,"12",22,48,12,13,0,14,49,6,0,0,1,12,10
"334",334,"Febrero","miércoles, 21 de febrero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CRA 54 CL 42","Laureles","Comuna10LaCandelaria",97,21,76,"0",7,10,4,7,0,0,10,4,"0",18,53,5,4,1,10,56,5,0,0,1,8,10
"335",335,"Febrero","jueves, 22 de febrero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","C 34 B CRA 66A","Laureles","Comuna16Belén",197,50,147,"0",15,27,8,25,0,8,17,0,"0",43,101,3,9,0,23,112,3,0,0,3,8,16
"336",336,"Febrero","viernes, 23 de febrero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","AV 74B CRA 76 CRA 73","Laureles","Comuna11LaurelesEstadio",144,49,95,"0",19,28,2,2,0,11,36,0,"0",23,67,5,6,0,27,62,0,0,0,1,10,11
"337",337,"Febrero","sábado, 24 de febrero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CR 65 CL 80","Caribe","Comuna10LaCandelaria",359,146,213,"0",53,68,22,140,1,5,0,0,"0",71,103,28,196,7,2,7,1,0,0,3,10,10
"338",338,"Febrero","miércoles, 21 de febrero de 2018","Intervenciones en vía y trámites","PQRS-Sensibilizaciones de educación vial","Secretaría de Movilidad","Actores viales en general","CR 76 CLL 26 Y 18","Belén","Comuna16Belén",113,48,65,"3",10,38,0,29,0,10,9,0,"11",29,31,5,7,5,23,30,0,0,0,1,4,16
"339",339,"Febrero","viernes, 23 de febrero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 76 CLL 26 Y 18","Belén","Comuna16Belén",258,117,141,"0",48,59,9,86,0,8,21,2,"0",36,86,19,62,0,35,44,0,0,0,1,7,16
"340",340,"Febrero","sábado, 24 de febrero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","CLL 10 CR 52","Guayabal","Comuna15Guayabal",344,164,180,"1",66,79,16,161,0,3,0,0,"0",66,104,10,136,2,18,22,2,0,0,3,7,15
"341",341,"Febrero","lunes, 19 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  145","Caribe","Comuna5Castilla",28,2,26,"3",0,2,0,0,0,0,2,0,"0",9,16,1,0,0,6,20,0,1,0,0,1,5
"342",342,"Febrero","lunes, 19 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  146","Caribe","Comuna5Castilla",21,2,19,"0",0,2,0,0,0,0,2,0,"0",3,16,0,0,0,4,15,0,1,0,0,1,5
"343",343,"Febrero","lunes, 19 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  147","Caribe","Comuna5Castilla",15,3,12,"0",2,1,0,0,0,1,2,0,"0",5,7,0,0,0,5,7,0,1,0,0,1,5
"344",344,"Febrero","martes, 20 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  148","Caribe","Comuna5Castilla",15,1,14,"0",0,1,0,0,0,0,1,0,"0",2,12,0,0,0,3,11,0,1,0,0,1,5
"345",345,"Febrero","martes, 20 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  149","Caribe","Comuna5Castilla",15,0,15,"0",0,0,0,0,0,0,0,0,"0",3,11,1,0,0,7,8,0,1,0,0,1,5
"346",346,"Febrero","martes, 20 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  150","Caribe","Comuna5Castilla",10,0,10,"0",0,0,0,0,0,0,0,0,"0",1,8,1,0,0,2,8,0,1,0,0,1,5
"347",347,"Febrero","miércoles, 21 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  151","Caribe","Comuna5Castilla",11,4,7,"0",3,1,0,0,0,2,2,0,"0",0,6,0,0,1,2,4,0,1,0,0,1,5
"348",348,"Febrero","miércoles, 21 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  152","Caribe","Comuna5Castilla",9,2,7,"0",0,2,0,0,0,1,1,0,"1",1,6,0,0,0,4,3,0,1,0,0,1,5
"349",349,"Febrero","miércoles, 21 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  153","Caribe","Comuna5Castilla",14,1,13,"0",0,1,0,0,0,0,1,0,"0",3,9,1,0,0,5,8,0,1,0,0,1,5
"350",350,"Febrero","jueves, 22 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  154","Caribe","Comuna5Castilla",24,3,21,"0",2,1,0,0,0,3,0,0,"0",6,14,1,0,0,12,9,0,1,0,0,1,5
"351",351,"Febrero","jueves, 22 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  155","Caribe","Comuna5Castilla",18,1,17,"0",1,0,0,0,0,0,1,0,"0",5,11,1,0,0,6,11,0,1,0,0,1,5
"352",352,"Febrero","jueves, 22 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  156","Caribe","Comuna5Castilla",14,3,11,"0",1,2,0,0,0,1,2,0,"0",3,8,0,0,0,1,10,0,1,0,0,1,5
"353",353,"Febrero","viernes, 23 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  157","Caribe","Comuna5Castilla",15,1,14,"0",0,1,0,0,0,0,1,0,"0",3,8,3,0,0,2,12,0,1,0,0,1,5
"354",354,"Febrero","viernes, 23 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  158","Caribe","Comuna5Castilla",14,2,12,"0",1,1,0,0,0,1,1,0,"0",3,9,0,0,0,2,10,0,1,0,0,1,5
"355",355,"Febrero","viernes, 23 de febrero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  159","Caribe","Comuna5Castilla",17,1,16,"0",1,0,0,0,0,0,1,0,"0",5,9,2,0,0,4,12,0,1,0,0,1,5
"356",356,"Febrero","jueves, 22 de febrero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","CR 53 42 181","Candelaria","Comuna10LaCandelaria",101,27,74,"0",14,13,0,7,0,4,16,0,"0",23,50,1,20,0,7,46,1,0,0,1,10,10
"357",357,"Febrero","viernes, 23 de febrero de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","I.E. La América Sede Betania","Docentes","CLL 34EE  91  20","Belencito","Comuna13SanJavier",3,3,0,"0",0,3,0,3,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,13
"358",358,"Febrero","lunes, 19 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Coordinadora Mercantil","Empresas de Motociclistas ( Mensajería, Domiciliarios, Seguridad, Servicios.)","CLL 30A 53 - 16","Belén Industriales","Comuna16Belén",2,2,0,"0",2,0,0,0,0,0,0,2,"0",0,0,0,0,0,0,0,0,0,0,1,0,16
"359",359,"Febrero","lunes, 19 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Porcicarnes","Empresas privadas","Clle 41sur#80-18 ","Parque principal","Comuna80SanAntoniodePrado",3,3,0,"0",2,1,0,2,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,80
"360",360,"Febrero","lunes, 19 de febrero de 2018","Empresas","Taller de educación vial","Red Llantas S.A.","Empresas comerciales y de servicios ","Cl 2Sur #32-2","POBLADO","Comuna14ElPoblado",19,4,15,"0",3,1,0,0,0,2,0,2,"0",1,14,0,1,0,3,11,0,0,0,1,0,14
"361",361,"Febrero","martes, 20 de febrero de 2018","Empresas","Taller de educación vial","Domesa","Empresas de Motociclistas ( Mensajería, Domiciliarios, Seguridad, Servicios.)","CLL 31 44 - 121","Barrio Colombia","Comuna10LaCandelaria",27,0,27,"0",0,0,0,0,0,0,0,0,"0",1,26,0,0,0,27,0,0,0,0,1,0,10
"362",362,"Febrero","martes, 20 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Balor S.A.","Empresas comerciales y de servicios ","CR 65A 34 09","Conquistadores","Comuna11LaurelesEstadio",1,1,0,"0",0,1,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,11
"363",363,"Febrero","martes, 20 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Tax Maya","Transporte Público Colectiivo","Cra 84#44C-21","Floresta","Comuna12LaAmérica",1,1,0,"0",1,0,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,12
"364",364,"Febrero","martes, 20 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Ingeniería y Contratos SAS","Empresas comerciales y de servicios "," Carrera 45 Nº 31-114 ","SANDIEGO","Comuna10LaCandelaria",1,1,0,"0",0,1,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,10
"365",365,"Febrero","miércoles, 21 de febrero de 2018","Empresas","Taller de educación vial","Cootransbland","Transporte Público Colectiivo","CLL 49 51 44","Centro","Comuna10LaCandelaria",12,1,11,"0",1,0,0,1,0,0,0,0,"0",3,8,0,0,0,0,11,0,0,0,1,0,10
"366",366,"Febrero","miércoles, 21 de febrero de 2018","Empresas","Taller de educación vial","Fundación Ximena Rico","Empresas por solicitud de PQRS","Clle 47#36A-96","Salvador","Comuna9BuenosAires",14,9,5,"0",1,8,0,1,0,0,3,5,"0",1,4,0,0,0,0,5,0,0,1,0,0,9
"367",367,"Febrero","miércoles, 21 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Transportadora Estrella","Empresas con Plan Estratégico de Seguridad vial.","Clle 64#56-60","Chagualo","Comuna10LaCandelaria",2,1,1,"0",0,1,0,1,0,0,0,0,"0",0,1,0,0,0,0,1,0,0,1,0,0,10
"368",368,"Febrero","miércoles, 21 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Polco SAS","Empresas comerciales y de servicios ","Cra 43E #5-65","Patio Bonito","Comuna14ElPoblado",1,1,0,"0",1,0,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,14
"369",369,"Febrero","miércoles, 21 de febrero de 2018","Empresas","Taller de educación vial","Pasteur","Empresas comerciales y de servicios ","Cra. 52 #50-55","LA CANDELARIA","Comuna10LaCandelaria",32,7,25,"0",4,3,0,6,0,1,0,0,"0",11,14,0,1,0,22,2,0,0,0,1,0,10
"370",370,"Febrero","jueves, 22 de febrero de 2018","Empresas","Taller de educación vial","Bancasa","Empresas comerciales y de servicios ","CLL 10 43A 08","El poblado","Comuna10LaCandelaria",22,2,20,"0",2,0,0,2,0,0,0,0,"0",4,15,1,10,0,6,4,0,0,0,1,0,10
"371",371,"Febrero","jueves, 22 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Coometropol","Transporte Público Colectiivo","CR 65 8B 91","Guayabal","Comuna15Guayabal",1,1,0,"0",0,1,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,15
"372",372,"Febrero","jueves, 22 de febrero de 2018","Empresas","Taller de educación vial","Cootransbland","Transporte Público Colectiivo","Clle 49#51-43","Guayaquil","Comuna10LaCandelaria",12,1,11,"0",1,0,0,1,0,0,0,0,"0",7,4,0,0,0,1,10,0,0,1,0,0,10
"373",373,"Febrero","jueves, 22 de febrero de 2018","Empresas","Taller de educación vial","Domesa","Empresas comerciales y de servicios ","Calle 31 44 121","SAN DIEGO","Comuna14ElPoblado",27,0,27,"0",0,0,0,0,0,0,0,0,"0",3,24,0,0,0,27,0,0,0,0,1,0,14
"374",374,"Febrero","viernes, 23 de febrero de 2018","Empresas","Taller de educación vial","Grupo Más ","Empresas privadas","CL 30a 69 108","Rosales","Comuna16Belén",40,19,21,"0",7,12,0,15,0,2,0,2,"0",4,17,0,8,0,8,5,0,0,0,1,0,16
"375",375,"Febrero","viernes, 23 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Transesa","Empresas con Plan Estratégico de Seguridad vial."," - Diagonal 75B #2A-120 - Local 220 - ","La Mota","Comuna16Belén",1,1,0,"0",0,1,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,16
"376",376,"Febrero","viernes, 23 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Ingeniería y Contratos SAS","Empresas comerciales y de servicios ","Calle 9 c sur 50ff 116","guayabal","Comuna15Guayabal",4,1,3,"0",0,1,0,0,0,0,1,0,"0",1,2,0,0,0,1,2,0,0,0,1,0,15
"377",377,"Febrero","jueves, 22 de febrero de 2018","Laboratorio Creativo de Movilidad","Taller de educación vial","Institución Universitaria Pascual Bravo","Instituciones de Educación Superior 
","Calle 73 N° 73A - 226","Pilarica ","Comuna7Robledo",23,11,12,"0",10,1,0,2,0,2,1,6,"0",12,0,0,2,0,4,2,4,0,0,1,0,7
"378",378,"Febrero","viernes, 23 de febrero de 2018","Laboratorio Creativo de Movilidad","Taller de educación vial","Institución Universitaria Pascual Bravo","Instituciones de Educación Superior 
","Calle 73 N° 73A - 226","Pilarica ","Comuna7Robledo",3,2,1,"0",0,2,0,0,0,0,2,0,"0",0,1,0,0,0,0,1,0,0,0,1,0,7
"379",379,"Febrero","viernes, 23 de febrero de 2018","Laboratorio Creativo de Movilidad","Taller de educación vial","Institución Universitaria Pascual Bravo","Instituciones de Educación Superior 
","Calle 73 N° 73A - 226","Pilarica ","Comuna7Robledo",11,8,3,"0",8,0,0,1,0,1,0,6,"0",3,0,0,0,0,1,0,2,0,0,1,0,7
"380",380,"Febrero","lunes, 19 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Sotrames","Transporte Público Colectiivo","Cra 43 # 63 - sur 35 -  sabaneta","Sabaneta","Comuna1Popular",1,1,0,"0",0,1,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,1
"381",381,"Febrero","martes, 20 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Transporte y Turismo 1A","Transporte Público Colectiivo"," Cl 65 # - 8B -91","Guayabal","Comuna15Guayabal",2,1,1,"0",0,1,0,0,0,0,0,1,"0",0,1,0,0,0,0,1,0,0,0,1,0,15
"382",382,"Febrero","viernes, 23 de febrero de 2018","Empresas","Reunión diagnóstica inicial en empresas","Consorcio Blanquizal ","Transporte Público Colectiivo","Carrera 64 C No. 72 - 58 ","Caribe","Comuna1Popular",1,0,1,"0",0,0,0,0,0,0,0,0,"0",0,1,0,0,0,1,0,0,0,0,1,0,1
"383",383,"Febrero","lunes, 19 de febrero de 2018","Activaciones BTL","Sensibilizaciones de educación vial","Secretaria Cultura Ciudadana","Eventos de ciudad","Carrera 48 calle 56","Centro","Comuna10LaCandelaria",242,136,106,"0",83,39,14,136,0,0,0,0,"0",35,52,14,106,0,0,0,0,0,0,1,2,10
"384",384,"Febrero","martes, 20 de febrero de 2018","Activaciones BTL","Sensibilizaciones de educación vial","Secretaria Cultura Ciudadana","Eventos de ciudad","Ayacucho con carrera 47","Centro","Comuna10LaCandelaria",219,118,101,"0",54,44,10,118,0,0,0,0,"5",57,25,8,101,0,0,0,0,0,0,1,2,10
"385",385,"Febrero","miércoles, 21 de febrero de 2018","Activaciones BTL","Sensibilizaciones de educación vial","Secretaria Cultura Ciudadana","Eventos de ciudad","Ayacucho con Av Orienta","Centro","Comuna10LaCandelaria",155,60,95,"10",26,19,8,60,0,0,0,0,"11",44,30,10,95,0,0,0,0,0,0,1,2,10
"386",386,"Febrero","lunes, 19 de febrero de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",300,102,198,"7",22,62,18,102,0,0,0,0,"11",62,121,13,198,0,0,0,0,0,0,1,2,5
"387",387,"Febrero","martes, 20 de febrero de 2018","Intervenciones en vía y trámites","Asesoría de usuarios","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",241,100,141,"0",36,58,6,100,0,0,0,0,"2",69,62,8,141,0,0,0,0,0,0,1,3,5
"388",388,"Febrero","miércoles, 21 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",112,42,70,"0",18,24,0,42,0,0,0,0,"2",24,44,0,70,0,0,0,0,0,0,1,3,5
"389",389,"Febrero","jueves, 22 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",72,28,44,"0",19,9,0,28,0,0,0,0,"2",32,12,0,44,0,0,0,0,0,0,1,2,5
"390",390,"Febrero","jueves, 22 de febrero de 2018","Activaciones BTL","Intervención lúdico - pedagógica","Secretaría de Movilidad","Actores viales en general","CR 47 CL 49","Candelaria","Comuna10LaCandelaria",102,64,38,"0",20,34,5,64,0,0,0,0,"0",8,20,5,38,0,0,0,0,0,0,1,2,10
"391",391,"Febrero","viernes, 23 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",43,4,39,"5",2,2,0,4,0,0,0,0,"5",9,29,1,39,0,0,0,0,0,0,1,1,5
"392",392,"Febrero","viernes, 23 de febrero de 2018","Activaciones BTL","Intervención lúdico - pedagógica","Secretaría de Movilidad","Actores viales en general","CR 46 CL 57","Candelaria","Comuna10LaCandelaria",54,20,34,"0",9,8,3,20,0,0,0,0,"0",12,18,4,34,0,0,0,0,0,0,1,2,10
"393",393,"Febrero","sábado, 24 de febrero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",86,36,50,"0",5,26,5,36,0,0,0,0,"0",18,24,8,50,0,0,0,0,0,0,1,2,5
"394",394,"Febrero","viernes, 23 de febrero de 2018","Poblaciones especiales","Reunión externa de gestión","Club de Vida Celajes","Clubes de Vida ","cra 43 # 43-52","Niquitao","Comuna10LaCandelaria",1,1,0,"0",0,0,1,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,0,0,0,10
"395",395,"Febrero","miércoles, 21 de febrero de 2018","Poblaciones especiales","Reunión externa de gestión","ASOJUPEADE","Clubes de Vida ","calle 42 # 58-01","La Alpujarra","Comuna10LaCandelaria",1,0,1,"0",0,0,0,0,0,0,0,0,"0",0,0,1,1,0,0,0,0,1,0,0,0,10
"396",396,"Febrero","miércoles, 21 de febrero de 2018","Poblaciones especiales","Reunión externa de gestión","San Sebastian","Clubes de Vida ","cra 46 # 41-26","Niquitao","Comuna10LaCandelaria",1,0,1,"0",0,0,0,0,0,0,0,0,"0",0,0,1,1,0,0,0,0,1,0,0,0,10
"397",397,"Febrero","jueves, 22 de febrero de 2018","Poblaciones especiales","Reunión externa de gestión","AUMAJU","Clubes de Vida ","Cra 52 #51A23","Centro","Comuna10LaCandelaria",1,0,1,"0",0,0,0,0,0,0,0,0,"0",0,0,1,1,0,0,0,0,1,0,0,0,10
"398",398,"Febrero","jueves, 22 de febrero de 2018","Poblaciones especiales","Reunión externa de gestión","Amigos de Sueño","Clubes de Vida ","Cra 43 #49-44","Centro","Comuna10LaCandelaria",1,1,0,"0",0,0,1,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,0,0,0,10
"399",399,"Febrero","jueves, 22 de febrero de 2018","Poblaciones especiales","Reunión externa de gestión","Todos Ciudad ","Clubes de Vida ","Cra 47 # 57A 47","Boston","Comuna10LaCandelaria",1,1,0,"0",0,0,1,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,0,0,0,10
"400",400,"Febrero","martes, 20 de febrero de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","Universidad Nacional","Instituciones de Educación Superior 
","Calle 59 A N 63-20","Rosales","Comuna7Robledo",3,1,2,"0",0,1,0,1,0,0,0,0,"0",0,2,0,0,0,0,2,0,0,0,1,0,7
"401",401,"Febrero","martes, 20 de febrero de 2018","Instituciones educativas e IES","Reunión inicial instituciones educativas","ESCOLME","Instituciones de Educación Superior 
","Calle 50 # 40 - 39","Centro","Comuna10LaCandelaria",1,0,1,"0",0,0,0,0,0,0,0,0,"0",0,1,0,1,0,0,0,0,0,0,1,0,10
